subject,tone,priority,email_body
Shipping Request,formal,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Product Inquiry,professional,high,I am considering canceling my subscription. Can you provide information on the cancellation process?
Product Inquiry,casual,medium,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Account Issue,urgent,high,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Service Cancellation Request,friendly,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Shipping Request,professional,low,I am facing difficulties accessing my account. Could you look into this issue for me?
Account Issue,urgent,medium,I am considering canceling my subscription. Can you provide information on the cancellation process?
Product Inquiry,professional,high,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Technical Support Request,casual,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Invoice Request,urgent,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Service Cancellation Request,professional,low,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Customer Feedback,urgent,low,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Order Status Update,formal,medium,I am considering canceling my subscription. Can you provide information on the cancellation process?
Shipping Request,casual,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Shipping Request,urgent,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Order Status Update,formal,low,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Order Status Update,urgent,medium,I am considering canceling my subscription. Can you provide information on the cancellation process?
Customer Feedback,professional,high,I am facing difficulties accessing my account. Could you look into this issue for me?
Order Status Update,friendly,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Service Cancellation Request,formal,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Job Application Follow-up,urgent,low,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Service Cancellation Request,casual,low,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Meeting Rescheduling,friendly,high,I'm having issues with my login credentials. Could you assist me with resetting my password?
Customer Feedback,urgent,low,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Account Issue,friendly,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Shipping Request,casual,high,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Job Application Follow-up,formal,high,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Product Inquiry,formal,high,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Service Cancellation Request,friendly,high,I am considering canceling my subscription. Can you provide information on the cancellation process?
Product Inquiry,professional,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Job Application Follow-up,urgent,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Order Status Update,professional,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Account Issue,urgent,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Invoice Request,friendly,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Shipping Request,friendly,low,I'm having issues with my login credentials. Could you assist me with resetting my password?
Technical Support Request,urgent,high,I'm having issues with my login credentials. Could you assist me with resetting my password?
Customer Feedback,formal,high,I am facing difficulties accessing my account. Could you look into this issue for me?
Technical Support Request,urgent,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Order Status Update,casual,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Order Status Update,professional,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Order Status Update,friendly,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Invoice Request,urgent,high,I'm having issues with my login credentials. Could you assist me with resetting my password?
Technical Support Request,formal,medium,I am considering canceling my subscription. Can you provide information on the cancellation process?
Product Inquiry,urgent,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Service Cancellation Request,professional,high,I am considering canceling my subscription. Can you provide information on the cancellation process?
Order Status Update,casual,low,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Shipping Request,casual,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Technical Support Request,formal,low,I'm having issues with my login credentials. Could you assist me with resetting my password?
Technical Support Request,formal,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Account Issue,friendly,medium,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Account Issue,friendly,medium,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Meeting Rescheduling,urgent,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Product Inquiry,friendly,medium,I am facing difficulties accessing my account. Could you look into this issue for me?
Customer Feedback,professional,high,I'm having issues with my login credentials. Could you assist me with resetting my password?
Shipping Request,casual,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Product Inquiry,formal,medium,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Service Cancellation Request,professional,medium,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Shipping Request,professional,low,I'm having issues with my login credentials. Could you assist me with resetting my password?
Shipping Request,professional,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Customer Feedback,formal,high,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Shipping Request,urgent,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Service Cancellation Request,formal,high,I'm having issues with my login credentials. Could you assist me with resetting my password?
Order Status Update,casual,medium,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Account Issue,formal,medium,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Account Issue,professional,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Customer Feedback,formal,low,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Product Inquiry,professional,high,I am facing difficulties accessing my account. Could you look into this issue for me?
Technical Support Request,professional,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Shipping Request,professional,high,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Customer Feedback,casual,medium,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Meeting Rescheduling,urgent,low,I am facing difficulties accessing my account. Could you look into this issue for me?
Job Application Follow-up,casual,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Invoice Request,professional,medium,I am facing difficulties accessing my account. Could you look into this issue for me?
Product Inquiry,casual,medium,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Meeting Rescheduling,casual,medium,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Order Status Update,friendly,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Order Status Update,urgent,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Product Inquiry,friendly,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Account Issue,professional,low,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Order Status Update,casual,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Customer Feedback,friendly,medium,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Shipping Request,formal,medium,I am considering canceling my subscription. Can you provide information on the cancellation process?
Service Cancellation Request,formal,high,I am facing difficulties accessing my account. Could you look into this issue for me?
Job Application Follow-up,formal,low,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Meeting Rescheduling,formal,medium,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Shipping Request,casual,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Meeting Rescheduling,formal,medium,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Job Application Follow-up,friendly,high,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Service Cancellation Request,casual,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Account Issue,friendly,medium,I am facing difficulties accessing my account. Could you look into this issue for me?
Shipping Request,urgent,medium,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Product Inquiry,professional,medium,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Product Inquiry,urgent,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Technical Support Request,professional,medium,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Shipping Request,formal,low,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Shipping Request,professional,high,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Invoice Request,professional,low,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Job Application Follow-up,urgent,low,I'm having issues with my login credentials. Could you assist me with resetting my password?
Technical Support Request,friendly,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Customer Feedback,urgent,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Product Inquiry,casual,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Job Application Follow-up,professional,high,I'm having issues with my login credentials. Could you assist me with resetting my password?
Product Inquiry,casual,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Service Cancellation Request,casual,medium,I am facing difficulties accessing my account. Could you look into this issue for me?
Job Application Follow-up,friendly,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Shipping Request,casual,low,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Order Status Update,friendly,medium,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Product Inquiry,casual,medium,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Account Issue,casual,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Meeting Rescheduling,professional,low,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Product Inquiry,urgent,medium,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Technical Support Request,formal,high,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Customer Feedback,formal,medium,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Order Status Update,friendly,high,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Invoice Request,formal,high,I am considering canceling my subscription. Can you provide information on the cancellation process?
Invoice Request,friendly,low,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Shipping Request,urgent,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Order Status Update,friendly,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Job Application Follow-up,casual,medium,I am considering canceling my subscription. Can you provide information on the cancellation process?
Service Cancellation Request,urgent,high,I'm having issues with my login credentials. Could you assist me with resetting my password?
Technical Support Request,formal,medium,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Service Cancellation Request,friendly,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Meeting Rescheduling,casual,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Meeting Rescheduling,urgent,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Job Application Follow-up,professional,medium,I am considering canceling my subscription. Can you provide information on the cancellation process?
Order Status Update,formal,low,I'm having issues with my login credentials. Could you assist me with resetting my password?
Shipping Request,formal,low,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Service Cancellation Request,professional,medium,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Invoice Request,formal,medium,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Meeting Rescheduling,formal,low,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Account Issue,friendly,low,I am facing difficulties accessing my account. Could you look into this issue for me?
Customer Feedback,casual,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Meeting Rescheduling,urgent,medium,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Customer Feedback,casual,low,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Account Issue,casual,medium,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Job Application Follow-up,friendly,medium,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Customer Feedback,professional,medium,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Product Inquiry,friendly,low,I'm having issues with my login credentials. Could you assist me with resetting my password?
Product Inquiry,formal,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Product Inquiry,friendly,high,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Invoice Request,professional,medium,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
